"","County_cd","Loc_cd","County_name","Chemical_name","Concentration..ppb.","Level_of_quantification..ppb.","Method_detection_level..ppb.","Sample_date","Latitude","Longitude","Site_code","Site_name","Sample_type","Study_cd","Study_description","Study_weblink","Data.source","Agency","Record_id"
"174501","31",26,"Placer","bifenthrin",0,0.0047,0.0047,"2015-06-08",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Filtered water sample",263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 16, 2019; downloaded August, 2019.","https://waterdata.usgs.gov/nwis","USGS","California Department Of Pesticide Regulation",2779497
"191579","31",44,"Placer","bifenthrin",0,0.0047,0.0047,"2010-06-24",39.14972,-120.17972,"31_44","Pond At Page Meadows Nr Tahoe City, Ca","Filtered water sample",263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 16, 2019; downloaded August, 2019.","https://waterdata.usgs.gov/nwis","USGS","U S Geological Survey",2614827
"243007","31",44,"Placer","bifenthrin",0,0.0047,0.0047,"2009-05-06",39.14972,-120.17972,"31_44","Pond At Page Meadows Nr Tahoe City, Ca","Filtered water sample",263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 16, 2019; downloaded August, 2019.","https://waterdata.usgs.gov/nwis","USGS","U S Geological Survey",2614826
"243187","31",44,"Placer","bifenthrin",0,0.0047,0.0047,"2010-09-03",39.14972,-120.17972,"31_44","Pond At Page Meadows Nr Tahoe City, Ca","Filtered water sample",263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 16, 2019; downloaded August, 2019.","https://waterdata.usgs.gov/nwis","USGS","U S Geological Survey",2614828
"248496","31",26,"Placer","bifenthrin",0,7e-04,7e-04,"2016-10-14",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Filtered water sample",263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 16, 2019; downloaded August, 2019.","https://waterdata.usgs.gov/nwis","USGS","California Department Of Pesticide Regulation",2779499
"264748","31",26,"Placer","bifenthrin",0,7e-04,7e-04,"2016-08-01",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Filtered water sample",263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 16, 2019; downloaded August, 2019.","https://waterdata.usgs.gov/nwis","USGS","California Department Of Pesticide Regulation",2778053
"275820","31",26,"Placer","bifenthrin",0,0.0047,0.0047,"2015-11-02",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Filtered water sample",263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 16, 2019; downloaded August, 2019.","https://waterdata.usgs.gov/nwis","USGS","California Department Of Pesticide Regulation",2779498
"277190","31",26,"Placer","bifenthrin",0,7e-04,7e-04,"2016-06-14",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Filtered water sample",263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 16, 2019; downloaded August, 2019.","https://waterdata.usgs.gov/nwis","USGS","California Department Of Pesticide Regulation",2769496
"299560","31",26,"Placer","bifenthrin",0.009,7e-04,7e-04,"2016-02-17",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Filtered water sample",263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 16, 2019; downloaded August, 2019.","https://waterdata.usgs.gov/nwis","USGS","California Department Of Pesticide Regulation",2771022
"413441","31",24,"Placer","bifenthrin",0.015,5e-04,1e-04,"2018-09-18",38.93541,-121.40736,"31_24","Coon Creek at Brewer Road","Sample-type unknown",932,"Sacramento Valley Water Quality Coalition , Irrigated Lands Regulatory Program , SVC, Order R5-2014-0030, Mar 1st 2019, WY18, Q4","http://www.ceden.org/","CEDEN","PNSSNS Subwatershed Group",2592864
